oid_,addnum_pre,add_number,addnum_suf,addno_full,st_premod,st_predir,st_pretyp,st_presep,st_name,st_postyp,st_posdir,st_posmod,stnam_full,building,floor,unit,room,seat,addtl_loc,subaddress,landmkname,county,inc_muni,post_city,census_plc,uninc_comm,nbrhd_comm,natamarea,natamsub,urbnztn_pr,placeother,placenmtyp,state,zip_code,plus_4,uuid,addauth,addrrefsys,longitude,latitude,natgrid,elevation,placement,addrpoint,related_id,relatetype,parcelsrc,parcel_id,addrclass,lifecycle,effective,expire,dateupdate,anomstatus,locatndesc,addr_type,delivertyp,nad_source,dataset_id
21280755,,5451,,5451,,,,,OAK THORN,Drive,,,OAK THORN Drive,,,,,,,,,St. Clair,FREEBURG,FREEBURG,,,,,,,,,IL,62243,,{4E24C669-419F-4256-8589-7C8287C125AF},Reserved For Future Use,,-89.87918847185892,38.41672282790265,16SBH4862755979,,Unknown,-89.87918847185892 38.41672282790265,,,,,Numbered Thoroughfare Address,,,,2013-05-10 00:00:00,,,Unknown,,State of Illinois,SITE81078@co.st-clair.il.us
18964856,,406,,406,,,,,3RD,Avenue,,,3RD Avenue,,,,,,,,,Whiteside,ROCK FALLS,ROCK FALLS,,,,,,,,,IL,61071,,{714D8106-EFD6-4234-9C21-64C90A77E666},Reserved for Future Use,,-89.69186962543407,41.77854129176622,16TBM7628528691,,Unknown,-89.69186962543407 41.77854129176622,,,,,Numbered Thoroughfare Address,,2025-08-04 16:34:36,2099-06-03 00:00:00,2025-08-04 16:34:36,,,Unknown,,State of Illinois,SITE1799036@whitesidecountyil.gov
17786678,,1802,,1802,,,,,BURNING BUSH,Lane,,,BURNING BUSH Lane,,,,,,,,,Cook,MOUNT PROSPECT,Mount Prospect,,,,,,,,,IL,60056,,{2516A056-6252-4347-BCEB-CC28D790F1A5},RESERVED FOR FUTURE USE,,-87.89760402579238,42.10038050379092,16TDM2577961311,,Unknown,-87.89760402579238 42.10038050379092,,,,,Numbered Thoroughfare Address,,2025-03-18 00:00:00,,2025-03-18 00:00:00,,,Unknown,,State of Illinois,SITE106048@nwcds.org
20184378,21W,131,,21W 131,,,,,MONTICELLO,Road,,,MONTICELLO Road,,,,,,,,,DuPage,Unincorporated,Lombard,,Lombard,,,,,,,IL,60148,0000,{6E5C97E1-01BC-402F-BF02-251F9F114019},Reserved for future use,,-88.03673729068272,41.84323833615917,16TDM1392832890,,Unknown,-88.03673729068272 41.84323833615917,,,,,Numbered Thoroughfare Address,,,,2023-07-17 13:15:36,,,Unknown,,State of Illinois,SITE93606@dupagecounty.gov
21134075,,3223,,3223,,,,,SCOTT,Street,,,SCOTT Street,,,,,,,,,Cook,FRANKLIN PARK,FRANKLIN PARK,,,,,,,,,IL,60131,,{6DEA37B6-9389-454E-8A73-3992BB0C66D0},Reserved for future use,,-87.87502812392567,41.937381135043466,16TDM2746043193,,Structure - Rooftop,-87.87502812392567 41.937381135043466,,,,,Numbered Thoroughfare Address,,,,2023-10-10 08:35:05,,,Unknown,,State of Illinois,SITE87699@norcomm911.com
17896405,,9727,,9727,,East,,,200TH,Avenue,,,East 200TH Avenue,,,,,,,,,Jasper,UNINCORPORATED,NEWTON,,NEWTON,,,,,,,IL,62448,,{AC554214-7578-466B-8248-F8192511D4B9},Reserved for future use,,-88.19182020812131,38.876226215651016,16SCJ9661703716,0,Unknown,-88.19182020812131 38.876226215651016 0,,,,,Numbered Thoroughfare Address,,2021-12-06 00:00:00,,2021-12-06 00:00:00,,,Unknown,,State of Illinois,SITE2364@jaspercounty.illinois.gov
20069122,,1491,,1491,,,,,BOULDER BLUFF,Lane,,,BOULDER BLUFF Lane,,,,,,,,,Kane,Unincorporated,Algonquin,,,,,,,,,IL,60102,,{897AFD0D-8A8A-4BB0-862E-57495FFABB1A},@mchenrycountyil.gov,,-88.31476411760629,42.137567904252485,16TCM9134865886,0,Unknown,-88.31476411760629 42.137567904252485 0,,,,,Numbered Thoroughfare Address,,,,2023-05-25 07:35:37,,,Unknown,,State of Illinois,SITE125250@mchenrycountyil.gov
20997890,,703,,703,,,,,CHAPEL,Street,,,CHAPEL Street,,,,,,,,,LaSalle,OTTAWA,OTTAWA,,,,,,,,,IL,61350,,{5E2F5965-A25D-4D25-B8C1-61FA901DC851},Reserved for Future Use,,-88.83042585025471,41.34831845800191,16TCL4686879041,0,Unknown,-88.83042585025471 41.34831845800191 0,,,,,Numbered Thoroughfare Address,,,,2021-02-19 00:00:00,,,Unknown,,State of Illinois,SITE61632@lasallecountyil.gov
20585033,,1711,,1711,,,,,PENNINGTON,Court,,,PENNINGTON Court,,,,,,,,,Will,UNINCORPORATED,NEW LENOX,,NEW LENOX,,,,,,,IL,60451,,{2AFD60DF-5BA2-4A39-89C0-3DED52E01323},Reserved for Future Use,,-87.93228805257408,41.521817459672704,16TDL2221497105,0,Unknown,-87.93228805257408 41.521817459672704 0,,,,,Numbered Thoroughfare Address,,2015-11-17 00:00:00,,2023-09-21 00:00:00,,,Unknown,,State of Illinois,SITE115650@willcounty911.gov
19850011,,8419,,8419,,,,,KIOWA,Crossing,,,KIOWA Crossing,,,,,,,,,Winnebago,Unincorporated,Roscoe,,,,,,,,,IL,61073,,{0A4F0435-1ED7-41DD-A10A-91B8E0E84016},Reserved for future use,,-88.952079081899,42.44539906524643,16TCN3946201076,,Unknown,-88.952079081899 42.44539906524643,,,,,Numbered Thoroughfare Address,,,,2025-08-22 10:00:51,,,Unknown,,State of Illinois,SITE92558@wincoil.gov
18584207,,2234,,2234,,North,,,CLEVELAND,Avenue,,,North CLEVELAND Avenue,,,,,,,,,Cook,CHICAGO,Chicago,,,,,,,,,IL,60614,,{B0B37AE7-F7D6-4964-90D2-FCBF3889F6C0},chicago911.il.us.gov,,-87.64169646821198,41.92294131826098,16TDM4679241419,,Unknown,-87.64169646821198 41.92294131826098,,,,,Numbered Thoroughfare Address,,,,2023-01-09 00:00:00,,,Unknown,,State of Illinois,SITE396657@cityofchicago.org
22256373,,118,,118,,,,,GRANVILLE,Street,,,GRANVILLE Street,,,,,,,,,Madison,BETHALTO,BETHALTO,,,,,,,,,IL,62010,,{6F3F0B4E-8A0E-48F7-9D61-76D6B3BE01E1},Reserved for future use,,-90.05243142924736,38.90719376107739,15SYD5559210609,,Unknown,-90.05243142924736 38.90719376107739,,,,,Numbered Thoroughfare Address,,,,2025-08-04 18:14:53,,,Unknown,,State of Illinois,SITE190023212@madisoncountyil.gov
21064051,,10518,,10518,,South,,,RIDGELAND,Avenue,,,South RIDGELAND Avenue,,,,,,,,,Cook,CHICAGO RIDGE,CHICAGO RIDGE,,,,,,,,,IL,60415,,{D35F6669-6A80-4422-BB07-7C7B12F9D370},southwestcentral911.org,,-87.77970762861632,41.7010792807073,16TDM3512416881,,Unknown,-87.77970762861632 41.7010792807073,,,,,Numbered Thoroughfare Address,,,,2020-06-30 00:00:00,,,Unknown,,State of Illinois,SITE64978@swcd911.org
19584521,,1000,,1000,,South,,,15TH,Street,,,South 15TH Street,,,,,,,,,Sangamon,SPRINGFIELD,SPRINGFIELD,,,,,,,,,IL,62703,,{D00CC087-1581-4D4A-8D57-AE512A8418E4},Reserved for future use,,-89.63502309968277,39.791419185120866,16SBK7437707928,,Unknown,-89.63502309968277 39.791419185120866,,,,,Numbered Thoroughfare Address,,,,2025-08-26 17:10:24,,,Unknown,,State of Illinois,SITE29863@sangamonil.gov
20890511,,43,,43,,,,,CEDAR,Court,,,CEDAR Court,,,,,,,,,Cook,CALUMET CITY,CALUMET CITY,,,,,,,,,IL,60409,,{C6C5B135-C06C-416E-8161-0EBD88057FDF},Reserved for future use,,-87.57515851562869,41.631291627900055,16TDM5209209000,,Unknown,-87.57515851562869 41.631291627900055,,,,,Numbered Thoroughfare Address,,,,2022-07-22 12:01:03,,,Unknown,,State of Illinois,SITE11365@calumetcity.org
19021867,,403,,403,,South,,,BLAIR,Drive,,,South BLAIR Drive,,,,,,,,,McLean,NORMAL,NORMAL,,,,,,,,,IL,61761,,{65C52AFF-DBA6-4848-A30E-037DB13DC0DA},RESERVED FOR FUTURE USE,,-88.96888863687151,40.506359404059744,16TCK3317985822,,Unknown,-88.96888863687151 40.506359404059744,,,,,Numbered Thoroughfare Address,,,,2025-03-31 00:00:00,,,Unknown,,State of Illinois,SITE53784@mcleancountyil.gov
19432327,,14338,,14338,,,,,CHICAGO,Road,,,CHICAGO Road,,,,,,,,,Cook,DOLTON,DOLTON,,,,,,,,,IL,60419,,{D650480F-5DDC-4E83-8A86-EC079E723DEB},Reserved for future use,,-87.60782402617033,41.6339299959407,16TDM4937309311,,Unknown,-87.60782402617033 41.6339299959407,,,,,Numbered Thoroughfare Address,,,,2022-07-21 19:11:26,,,Unknown,,State of Illinois,SITE3398@cms911.org
17955627,,106,,106,,North,,,SCHRADER,Avenue,,,North SCHRADER Avenue,,,,,,,,,Mason,HAVANA,Havana,,,,,,,,,IL,62644,,{688F826D-A4A3-45AB-BC8B-ACD5D7BEFB42},Reserved for Future Use,,-90.06533754020565,40.30046507676119,15TYE4941865240,0,Unknown,-90.06533754020565 40.30046507676119 0,,,,,Numbered Thoroughfare Address,,,,2020-08-26 00:00:00,,,Unknown,,State of Illinois,SITE11832@masoncountyil.gov
19877321,,6440,,6440,,,,,REANNA,Way,,,REANNA Way,,,,,,,,,Winnebago,Unincorporated,Loves Park,,,,,,,,,IL,61111,,{E78EBBA2-9EA0-42A8-8917-16D8C501EBDA},Reserved for future use,,-89.01426535629417,42.35425710988556,16TCM3410891075,,Unknown,-89.01426535629417 42.35425710988556,,,,,Numbered Thoroughfare Address,,,,2025-08-22 10:00:51,,,Unknown,,State of Illinois,SITE133600@wincoil.gov
